judul,harga,lokasi,kamar_tidur,kamar_mandi,carport,luas_tanah,luas_bangunan
Bebas Banjir,"Rp 6,9 Miliar","Rp 6,9 Miliar",4,2,,204 m²,250 m²
Dekat Akses Transportasi,"Rp 16,5 Miliar","Rp 16,5 Miliar",5,2,,300 m²,463 m²
"Rp 3,1 Miliar","Rp 3,1 Miliar","Rp 3,1 Miliar",5,2,,84 m²,144 m²
Full Furnished,"Rp 5,7 Miliar","Rp 5,7 Miliar",,,,120 m²,198 m²
"Rp 4,8 Miliar","Rp 4,8 Miliar","Rp 4,8 Miliar",6,2,,119 m²,192 m²
Full Furnished,"Rp 3,25 Miliar","Rp 3,25 Miliar",3,1,,84 m²,137 m²
Full Furnished,"Rp 3,3 Miliar","Rp 3,3 Miliar",3,2,,84 m²,137 m²
"Rp 5,2 Miliar","Rp 5,2 Miliar","Rp 5,2 Miliar",4,1,,128 m²,192 m²
Full Furnished,"Rp 10,5 Miliar","Rp 10,5 Miliar",,,,250 m²,550 m²
"Rp 4,8 Miliar","Rp 4,8 Miliar","Rp 4,8 Miliar",4,2,,310 m²,300 m²
Dekat Akses Transportasi,"Rp 3,3 Miliar","Rp 3,3 Miliar",3,2,,180 m²,200 m²
Dekat Akses Transportasi,"Rp 2,2 Miliar","Rp 2,2 Miliar",3,1,,84 m²,92 m²
Full Furnished,"Rp 3,3 Miliar","Rp 3,3 Miliar",3,2,,84 m²,137 m²
Dekat Sekolah,"Rp 3,4 Miliar","Rp 3,4 Miliar",4,1,,136 m²,160 m²
Bebas Banjir,"Rp 1,9 Miliar","Rp 1,9 Miliar",,,,160 m²,250 m²
Bebas Banjir,Rp 2 Miliar,"Bintaro, Tangerang Selatan",,,,112 m²,120 m²
Full Furnished,"Rp 4,95 Miliar","Rp 4,95 Miliar",,,,140 m²,190 m²
Full Furnished,"Rp 3,25 Miliar","Rp 3,25 Miliar",,,,153 m²,125 m²
"Rp 5,3 Miliar","Rp 5,3 Miliar","Rp 5,3 Miliar",4,2,,126 m²,231 m²
Full Furnished,"Rp 1,8 Miliar","Rp 1,8 Miliar",,,,60 m²,88 m²
Full Furnished,"Rp 2,5 Miliar","Rp 2,5 Miliar",,,,119 m²,189 m²
Dekat Akses Transportasi,"Rp 3,35 Miliar","Rp 3,35 Miliar",3,2,,160 m²,130 m²
Full Furnished,"Rp 1,93 Miliar","Rp 1,93 Miliar",,,,104 m²,300 m²
Full Furnished,Rp 32 Miliar,"BSD, Tangerang",,,,495 m²,545 m²
DP 0%,Rp 700 Juta,"Serpong, Tangerang Selatan",2,1,,64 m²,40 m²
Full Furnished,"Rp 1,07 Miliar","Rp 1,07 Miliar",,,,84 m²,105 m²
Full Furnished,Rp 998 Juta,"Serpong, Tangerang Selatan",,,,84 m²,72 m²
Full Furnished,"Rp 1,24 Miliar","Rp 1,24 Miliar",,,,72 m²,43 m²
Dekat Akses Transportasi,"Rp 1,98 Miliar","Rp 1,98 Miliar",3,1,,66 m²,95 m²
Siap Huni,"Rp 2,5 Miliar","Rp 2,5 Miliar",3,2,,96 m²,90 m²
Dekat Akses Transportasi,"Rp 3,92 Miliar","Rp 3,92 Miliar",5,2,,112 m²,190 m²
Full Furnished,Rp 860 Juta,"Cipondoh, Tangerang",,,,121 m²,84 m²
Siap Huni,"Rp 7,8 Miliar","Rp 7,8 Miliar",4,2,,330 m²,350 m²
Dekat Akses Transportasi,"Rp 1,4 Miliar","Rp 1,4 Miliar",3,1,,70 m²,80 m²
"Rp 1,4 Miliar","Rp 1,4 Miliar","Rp 1,4 Miliar",3,1,,68 m²,80 m²
Full Furnished,"Rp 1,05 Miliar","Rp 1,05 Miliar",,,,62 m²,66 m²
"Rp 1,9 Miliar","Rp 1,9 Miliar","Rp 1,9 Miliar",3,1,,66 m²,93 m²
Dekat Akses Transportasi,"Rp 1,68 Miliar","Rp 1,68 Miliar",3,2,,84 m²,104 m²
"Rp 7,4 Miliar","Rp 7,4 Miliar","Rp 7,4 Miliar",5,2,,225 m²,390 m²
Dekat Pusat Perbelanjaan,"Rp 7,25 Miliar","Rp 7,25 Miliar",4,2,,180 m²,237 m²
